"Z";"Line Name";"Comment";"line keV";"tube KV";"Filter";"Ref Sample";"Ref Line";"Calib.";"Collimator";"Crystal";"Detector";"2Th-Peak";"2Th-Bkg";"LLD";"ULD"
47;"Ag KA1-ALT-Min";;22,16;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";22,658;;50;150
47;"Ag KA1-ALT-Min";"noFil";22,16;60;;"QuantExpress-SQ3";"Cd KA1-ALT-Min/NoFil";"C,D,*";0,23;"LiF220";"Sci.";22,658;;50;150
47;"Ag KA1-ALT-Tr";;22,16;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";22,658;;60;140
47;"Ag KA1-ALT-Tr";"noFil";22,16;60;;"QuantExpress-SQ3";"Cd KA1-ALT-Tr/NoFil";"C,D";0,23;"LiF220";"Sci.";22,658;;60;140
47;"Ag KA1-HR-Min";;22,16;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";15,981;;50;150
47;"Ag KA1-HR-Min";"NoFil";22,16;60;;"QuantExpress-SQ3";"Cd KA1-HR-Min/NoFil";"C,D";0,23;"LiF200";"Sci.";15,981;;50;150
47;"Ag KA1-HR-Tr";;22,16;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";15,981;;60;140
47;"Ag KA1-HR-Tr";"NoFil";22,16;60;;"QuantExpress-SQ3";"Cd KA1-HR-Tr/NoFil";"C,D";0,23;"LiF200";"Sci.";15,981;;60;140
47;"Ag KA1-HS-Min";;22,16;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";15,981;;50;150
47;"Ag KA1-HS-Min";"NoFil";22,16;60;;"QuantExpress-SQ3";"Cd KA1-HS-Min/NoFil";"C,D";0,46;"LiF200";"Sci.";15,981;;50;150
47;"Ag KA1-HS-Tr";;22,16;60;"Cu 200um";"QuantExpress-SQ3";"Cd KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";15,981;;60;140
47;"Ag KA1-HS-Tr";"NoFil";22,16;60;;"QuantExpress-SQ3";"Cd KA1-HS-Tr/NoFil";"C,D";0,46;"LiF200";"Sci.";15,981;;60;140
47;"Ag KA1-Maj";;22,16;50;;"QuantExpress-SQ3";"Cd KA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";15,981;;35;300
47;"Ag KB1-Min";;24,94;60;;"QuantExpress-SQ2";"Sb KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";14,192;;50;150
47;"Ag KB1-Tr";;24,94;60;;"QuantExpress-SQ2";"Sb KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";14,192;;60;140
47;"Ag LA1-HR-Min";;2,984;50;;"QuantExpress-SQ3";"K  KA1-HR-Min/PET";"C,D,*";0,23;"PET";"Gas";56,712;;50;150
47;"Ag LA1-HR-Tr";;2,984;50;;"QuantExpress-SQ3";"K  KA1-HR-Tr/PET";"C,D,*";0,23;"PET";"Gas";56,712;;60;140
47;"Ag LA1-HS-Min";;2,984;50;;"QuantExpress-SQ3";"K  KA1-HS-Min/PET";"C,D,*";0,46;"PET";"Gas";56,712;;50;150
47;"Ag LA1-HS-Tr";;2,984;50;;"QuantExpress-SQ3";"K  KA1-HS-Tr/PET";"C,D,*";0,46;"PET";"Gas";56,712;;60;140
13;"Al KA1-ALT-Min";;1,487;30;;"QuantExpress-SQ3";"Mg KA1-HR-Min";"C,D";0,23;"XS-55";"Gas";17,316;;40;160
13;"Al KA1-ALT-Tr";;1,487;30;;"QuantExpress-SQ3";"Mg KA1-HR-Tr";"C,D";0,23;"XS-55";"Gas";17,316;;50;150
13;"Al KA1-HR-Min";;1,487;30;;"QuantExpress-SQ1";"Al KA1-HR-Min";"C,D,*";0,23;"PET";"Gas";"144,615*";;50;150
13;"Al KA1-HR-Min";"L";1,487;30;;"QuantExpress-SQ1";"Al KA1-HR-Min/L";"*";0,23;"PET";"Gas";"144,600*";143,447;60;145
13;"Al KA1-HR-Tr";;1,487;30;;"QuantExpress-SQ1";"Al KA1-HR-Tr";"C,D,*";0,23;"PET";"Gas";"144,608*";;60;140
13;"Al KA1-HR-Tr";"QE";1,487;30;;;;;0,23;"PET";"Gas";144,624;124,999;60;140
13;"Al KA1-HS-Min";;1,487;30;;"QuantExpress-SQ1";"Al KA1-HS-Min";"C,D,*";0,46;"PET";"Gas";"144,661*";;50;150
13;"Al KA1-HS-Min";"veg";1,487;30;;"QuantExpress-SQ1";"Al KA1-HS-Min/veg";"C,*";0,46;"PET";"Gas";"144,661*";147,447;59,17;139,2
13;"Al KA1-HS-Tr";;1,487;30;;"QuantExpress-SQ1";"Al KA1-HS-Tr";"C,D,*";0,46;"PET";"Gas";144,624;;60;140
13;"Al KA1-Maj";;1,487;30;;"QuantExpress-SQ1";"Al KA1-Maj";"C,D,*";0,23;"PET";"Gas";144,624;;35;300
13;"Al KA1-Maj";"granit";1,487;30;;"QuantExpress-SQ1";"Al KA1-Maj/granit";;0,23;"PET";"Gas";"144,672*";146,65;60;140,8
13;"Al KA1-Maj";"granit new";1,487;30;;"QuantExpress-SQ1";"Al KA1-Maj";"C,D";0,23;"PET";"Gas";144,624;;35;300
13;"Al KA1-Maj";"Oxid_IZK";1,487;30;;"QuantExpress-SQ1";"Al KA1-Maj/Oxid_IZK";;0,23;"PET";"Gas";144,624;146,398;60;140,8
13;"Al KA1";"Cu-Al-Check";1,487;30;;"DC_Cu-Al-Check-Al";"Al KA1/Cu-Al-Check";;0,23;"XS-55";"Gas";17,316;;30;300
13;"Al KA1";"S8-Check";1,487;30;;"DC_S8-Check-STG";"Al KA1/S8-Check";"D-";0,46;"PET";"Gas";"144,655*";;40;170
13;"Al KB1-HR-Tr";"El";1,556;30;;"QuantExpress-SQ1";"Al KA1-HR-Tr";"C,D";0,23;"PET";"Gas";131,09;;60;140
13;"Al KB1-HR-Tr";"Ox";1,552;30;;"QuantExpress-SQ1";"Al KA1-HR-Tr";"C,D";0,23;"PET";"Gas";131,739;;60;140
33;"As KA1-ALT-Min";;10,54;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";48,772;;50;150
33;"As KA1-ALT-Tr";;10,54;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";48,772;;60;140
33;"As KA1-HR-Min";;10,54;60;;"QuantExpress-SQ2";"Pb LA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";33,969;;50;150
33;"As KA1-HR-Min";"Cu alloy";10,54;50;;;;"*";0,23;"LiF200";"Sci.";"33,998*";;50;150
33;"As KA1-HR-Tr";;10,54;60;;"QuantExpress-SQ2";"Pb LA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";33,969;;60;140
33;"As KA1-HR-Tr";"Cu";10,54;50;;;;"*";0,23;"LiF200";"Sci.";33,969;;60;140
33;"As KA1-HS-Min";;10,54;60;;"QuantExpress-SQ2";"Pb LA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";33,969;;50;150
33;"As KA1-HS-Min";"Ca_Nd_karb";10,54;50;"Al 500um";"Rekal-MSAN-1";"As KA1-HS-Min/Ca_Nd_karb";"D-";0,17;"LiF200";"Sci.";"33,996*";;62,92;142,1
33;"As KA1-HS-Min";"L";10,54;50;"Al 800um";;;"*";0,17;"LiF200";"Sci.";"33,996*";34,6;62,92;142,1
33;"As KA1-HS-Min";"L/BF";10,54;50;"Al 500um";;;"*";0,17;"LiF200";"Sci.";"33,996*";;62,92;142,1
33;"As KA1-HS-Min";"T";10,54;50;;;;"*";0,17;"LiF200";"Sci.";"34,001*";33,598;60,83;144,2
33;"As KA1-HS-Tr";;10,54;60;;"QuantExpress-SQ2";"Pb LA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";33,969;;60;140
33;"As KB1-ALT-Min";;11,73;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";43,585;;50;150
33;"As KB1-ALT-Tr";;11,73;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";43,585;;60;140
33;"As KB1-ALT-Tr";"L";11,73;50;"Al 800um";;;"*";0,17;"LiF220";"Sci.";"43,597*";44,054;64,17;137,9
33;"As KB1-HR-Min";;11,73;60;;"QuantExpress-SQ2";"Pb LA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";30,457;;50;150
33;"As KB1-HR-Min";"geo";11,73;50;;"QuantExpress-SQ2";"As KB1-HR-Min/geo";"*";0,23;"LiF200";"Sci.";"30,462*";30,979;64,17;139,2
33;"As KB1-HR-Tr";;11,73;60;;"QuantExpress-SQ2";"Pb LA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";30,457;;60;140
33;"As KB1-HS-Min";;11,73;60;;"QuantExpress-SQ2";"Pb LA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";30,457;;50;150
33;"As KB1-HS-Tr";;11,73;60;;"QuantExpress-SQ2";"Pb LA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";30,457;;60;140
33;"As KB1";"GEO-QUANT";11,73;60;;"DC_AusMon";"As KB1/GEO-QUANT";"D-";0,23;"LiF220";"Sci.";"43,573*";"36,598; 41,217; 44,853";40;160
33;"As LA1-HR";;1,282;30;;"QuantExpress-SQ3";"Mg KA1-HR-Tr";"C,D";0,23;"XS-55";"Gas";20,068;;50;150
33;"As LA1-HS";;1,282;30;;"QuantExpress-SQ3";"Mg KA1-HS-Tr";"C,D";0,46;"XS-55";"Gas";20,068;;50;150
79;"Au LA1-ALT-Min";;9,705;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";53,306;;50;150
79;"Au LA1-ALT-Tr";;9,705;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";53,306;;60;140
79;"Au LA1-HR-Min";;9,705;60;;"QuantExpress-SQ2";"Pb LA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";37,009;;50;150
79;"Au LA1-HR-Tr";;9,705;60;;"QuantExpress-SQ2";"Pb LA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";37,009;;60;140
79;"Au LA1-HS-Min";;9,705;60;;"QuantExpress-SQ2";"Pb LA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";37,009;;50;150
79;"Au LA1-HS-Tr";;9,705;60;;"QuantExpress-SQ2";"Pb LA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";37,009;;60;140
79;"Au LA1-Maj";;9,705;50;;"QuantExpress-SQ2";"Pb LA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";37,009;;35;300
79;"Au LB1-ALT-Min";;11,44;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";44,731;;50;150
79;"Au LB1-ALT-Tr";;11,44;60;;"QuantExpress-SQ2";"Pb LA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";44,731;;60;140
79;"Au LB1-HR-Min";;11,44;60;;"QuantExpress-SQ2";"Pb LA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";31,236;;50;150
79;"Au LB1-HR-Tr";;11,44;60;;"QuantExpress-SQ2";"Pb LA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";31,236;;60;140
79;"Au LB1-HS-Min";;11,44;60;;"QuantExpress-SQ2";"Pb LA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";31,236;;50;150
79;"Au LB1-HS-Tr";;11,44;60;;"QuantExpress-SQ2";"Pb LA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";31,236;;60;140
79;"Au MA1,2-HR-Min";;2,121;30;;"QuantExpress-SQ2";"P  KA1-HR-Min";"C,D,*";0,23;"PET";"Gas";83,847;;50;150
